date,close,high,low,pre_close,range,change,vol,turnover
11/26/19,10848.9721,10896.4168,10815.3848,10795.6286,53.3435,0.4941,2493024,11203815751
11/25/19,10795.6286,10829.6308,10651.1897,10828.7314,-33.1028,-0.3057,2305438,9724687742
11/22/19,10828.7314,11071.8443,10745.3776,11018.9659,-190.2345,-1.7264,2767213,12494438253
11/21/19,11018.9659,11065.1615,10960.0582,11069.5746,-50.6087,-0.4572,1741078,6571948981
11/20/19,11069.5746,11134.3005,11044.2719,11077.1905,-7.6159,-0.0688,2502519,7625452589
11/19/19,11077.1905,11083.5141,10976.1626,10972.3691,104.8214,0.9553,2884749,9376004112
11/18/19,10972.3691,10981.9228,10870.6227,10953.9585,18.4106,0.1681,2453538,8014286545
11/15/19,10953.9585,11042.635,10946.9739,11015.4974,-61.5389,-0.5587,2286903,7078109150
11/14/19,11015.4974,11073.9142,10956.2065,10990.3151,25.1823,0.2291,2631765,9226325092
11/13/19,10990.3151,11011.2322,10897.7251,10914.8738,75.4413,0.6912,2461189,9873870581
11/12/19,10914.8738,10926.4318,10800.6212,10868.7839,46.0899,0.4241,2699784,7892894886
11/11/19,10868.7839,11001.0798,10847.0202,11012.3909,-143.607,-1.304,3049374,8470132813
11/8/19,11012.3909,11140.8593,11000.4045,11030.2675,-17.8766,-0.1621,3199323,10533660270
11/7/19,11030.2675,11048.4855,10959.8123,10969.0622,61.2053,0.558,2606856,7689150456
11/6/19,10969.0622,11062.6141,10945.3312,11046.4722,-77.41,-0.7008,2877542,8546215321
11/5/19,11046.4722,11098.0544,10942.4697,10962.1683,84.3039,0.769,3270843,10128394448
11/4/19,10962.1683,11034.9942,10921.1633,10894.8219,67.3464,0.6182,2930832,10212416799
11/1/19,10894.8219,10913.5409,10718.3135,10775.3683,119.4536,1.1086,3323271,10672173955
10/31/19,10775.3683,10853.9411,10754.488,10696.6642,78.7041,0.7358,3929794,12758683356
10/30/19,10696.6642,10748.7511,10626.8188,10749.3981,-52.7339,-0.4906,3181555,9140011876
10/29/19,10749.3981,10777.8863,10659.624,10671.9634,77.4347,0.7256,3211542,10348737210
10/28/19,10671.9634,10695.1692,10541.7468,10532.2487,139.7147,1.3265,3285599,9646692420
10/25/19,10532.2487,10545.9728,10349.8086,10374.2891,157.9596,1.5226,3028834,8719834202
10/24/19,10374.2891,10557.5756,10344.3965,10552.9142,-178.6251,-1.6927,3564632,9899300576
10/23/19,10552.9142,10712.9183,10532.4971,10656.9545,-104.0403,-0.9763,2524824,8086926999
10/22/19,10656.9545,10668.0498,10570.2023,10600.5808,56.3737,0.5318,2246085,6665109165
10/21/19,10600.5808,10667.4645,10559.5866,10614.9212,-14.3404,-0.1351,2213435,7727089550
10/18/19,10614.9212,10747.8794,10588.1394,10721.0008,-106.0796,-0.9895,2511603,8775493750
10/17/19,10721.0008,10774.8305,10665.2527,10737.0477,-16.0469,-0.1495,2123199,8134426878
10/16/19,10737.0477,10812.9995,10720.8694,10894.3501,-157.3024,-1.4439,2913345,12849273301
10/15/19,10894.3501,10906.9435,10772.3235,10815.4079,78.9422,0.7299,2719705,11244789058
10/14/19,10815.4079,10885.8216,10757.1547,10759.8925,55.5154,0.5159,3322945,10165551159
10/11/19,10759.8925,10840.0576,10680.2386,10753.2444,6.6481,0.0618,2472361,8725395736
10/10/19,10753.2444,10771.1539,10555.7003,10680.2325,73.0119,0.6836,2392696,10306500493
10/9/19,10680.2325,10719.938,10577.5375,10718.7132,-38.4807,-0.359,2219538,8894768070
10/8/19,10718.7132,10826.7003,10654.5566,10654.6916,64.0216,0.6009,2440509,9246218135
9/30/19,10654.6916,10757.2661,10654.6916,10714.9911,-60.2995,-0.5628,2208417,8616948653
9/27/19,10714.9911,10784.5439,10581.7583,10725.1993,-10.2082,-0.0952,2561910,8138822018
9/26/19,10725.1993,10890.4173,10699.3615,10804.2565,-79.0572,-0.7317,3421834,10122842031
9/25/19,10804.2565,10888.6833,10781.7052,10878.2323,-73.9758,-0.68,3871541,10644773668
9/24/19,10878.2323,10961.5122,10774.6767,10749.9253,128.307,1.1936,3649613,12064883567
9/23/19,10749.9253,10866.6579,10687.1814,10885.1381,-135.2128,-1.2422,3357729,9712369940
9/20/19,10885.1381,10910.5138,10825.1974,10826.6349,58.5032,0.5404,3291090,11286264816
9/19/19,10826.6349,10880.1492,10759.8115,10862.8304,-36.1955,-0.3332,3240682,9804920401
9/18/19,10862.8304,10894.8226,10618.8362,10581.2738,281.5566,2.6609,3708800,16474925402
9/17/19,10581.2738,10698.5965,10557.0342,10720.4111,-139.1373,-1.2979,3309300,8762784762
9/16/19,10720.4111,10769.327,10674.5778,10773.4365,-53.0254,-0.4922,3441301,10146888969
9/12/19,10773.4365,10786.1848,10660.7691,10654.7704,118.6661,1.1137,3585218,11233544120
9/11/19,10654.7704,10933.831,10651.2425,10916.4017,-261.6313,-2.3967,4176389,17203546281
9/10/19,10916.4017,10962.5792,10842.1083,10912.3309,4.0708,0.0373,4498913,11602663093
9/9/19,10912.3309,10963.0295,10874.2427,10864.6786,47.6523,0.4386,4363537,12376171722
9/6/19,10864.6786,10941.3788,10802.7575,10911.2258,-46.5472,-0.4266,3444421,9868625398
9/5/19,10911.2258,10982.527,10873.5304,10869.5758,41.65,0.3832,4632006,12954941520
9/4/19,10869.5758,10951.6521,10777.6499,10943.1134,-73.5376,-0.672,3561652,11105467910
9/3/19,10943.1134,11050.1221,10878.0198,11000.3979,-57.2845,-0.5207,3817712,11076933097
9/2/19,11000.3979,11008.7767,10880.3991,10948.2743,52.1236,0.4761,3804973,10960649611
8/30/19,10948.2743,11035.712,10825.7666,10855.4826,92.7917,0.8548,4343147,14505346172
8/29/19,10855.4826,10887.0699,10765.3598,10830.9217,24.5609,0.2268,3153706,9598274990
8/28/19,10830.9217,10871.6123,10690.3081,10769.038,61.8837,0.5746,4049466,13614261858
8/27/19,10769.038,10858.076,10700.3803,10656.2321,112.8059,1.0586,4236105,14520536588
8/26/19,10656.2321,10716.9457,10607.648,10821.2446,-165.0125,-1.5249,3277512,11656482570
8/23/19,10821.2446,10835.8697,10631.1527,10682.0021,139.2425,1.3035,3169356,11216818249
8/22/19,10682.0021,10684.0251,10571.3867,10547.8045,134.1976,1.2723,3437377,10410419050
8/21/19,10547.8045,10607.6824,10532.9692,10597.0385,-49.234,-0.4646,3902526,10080194348
8/20/19,10597.0385,10604.1092,10491.4256,10523.9614,73.0771,0.6944,3583609,10217467147
8/19/19,10523.9614,10534.9658,10397.0668,10395.2636,128.6978,1.238,4209695,12476306783
8/16/19,10395.2636,10484.2253,10206.6992,10192.2693,202.9943,1.9916,3509195,12239398619
8/15/19,10192.2693,10198.9389,10034.5168,10201.7257,-9.4564,-0.0927,2968002,8385061208
8/14/19,10201.7257,10258.7396,10177.7214,10127.3588,74.3669,0.7343,3139063,10703668551
8/13/19,10127.3588,10144.5986,10066.5175,10130.7813,-3.4225,-0.0338,3031998,8738476066
8/12/19,10130.7813,10140.2598,10016.5382,9973.1838,157.5975,1.5802,4186548,15595407309
8/9/19,9973.1838,10134.4056,9941.4502,10068.5584,-95.3746,-0.9473,3926869,10716519778
8/8/19,10068.5584,10095.2864,9947.6735,9902.4402,166.1182,1.6775,3245013,10698438140
8/7/19,9902.4402,9953.0301,9861.7587,9878.325,24.1152,0.2441,3737505,10150070646
8/6/19,9878.325,9926.7486,9731.1108,10049.9412,-171.6162,-1.7076,5862388,15441407511
8/5/19,10049.9412,10212.0515,10048.3424,10200.564,-150.6228,-1.4766,2837338,8561897237
8/2/19,10200.564,10222.4333,10046.6264,10255.0416,-54.4776,-0.5312,3008543,9490529927
8/1/19,10255.0416,10386.2853,10206.2394,10395.1331,-140.0915,-1.3477,2707626,9068243588
7/31/19,10395.1331,10544.337,10390.5508,10508.9205,-113.7874,-1.0828,2497309,7745390633
7/30/19,10508.9205,10591.1502,10498.2386,10541.3568,-32.4363,-0.3077,2799026,7734536004
7/29/19,10541.3568,10554.4544,10467.0824,10491.8404,49.5164,0.472,2631084,7539684739
7/26/19,10491.8404,10507.3223,10398.9063,10467.5835,24.2569,0.2317,2778999,7885809050
7/25/19,10467.5835,10467.5835,10315.7937,10408.7437,58.8398,0.5653,3010402,9565961957
7/24/19,10408.7437,10466.1058,10381.9228,10384.2005,24.5432,0.2364,3038006,10293483440
7/23/19,10384.2005,10402.8568,10270.4303,10354.5241,29.6764,0.2866,3180938,9198974539
7/22/19,10354.5241,10475.1125,10319.9422,10424.0375,-69.5134,-0.6669,3075858,8119279018
7/19/19,10424.0375,10494.1359,10353.5211,10334.5197,89.5178,0.8662,2888596,8452251248
7/18/19,10334.5197,10458.0451,10331.9294,10452.9252,-118.4055,-1.1327,3435134,10059122594
7/17/19,10452.9252,10528.1348,10411.4237,10476.7216,-23.7964,-0.2271,2738139,8061334708
7/16/19,10476.7216,10646.637,10453.8681,10635.6615,-158.9399,-1.4944,2893580,10251491408
7/15/19,10635.6615,10688.7251,10449.5581,10703.8525,-68.191,-0.6371,3548355,13204994191
7/12/19,10703.8525,10741.8463,10634.9097,10637.422,66.4305,0.6245,2841333,8637181425
7/11/19,10637.422,10779.9439,10609.2475,10680.9647,-43.5427,-0.4077,3350389,10323407236
7/10/19,10680.9647,10746.5376,10648.2049,10672.1702,8.7945,0.0824,2957551,8891075569
7/9/19,10672.1702,10737.5733,10613.0151,10652.055,20.1152,0.1888,3854938,10828954530
7/8/19,10652.055,10827.7024,10544.4717,10863.4035,-211.3485,-1.9455,4513870,12004916324
